"area";"serviço";"valor_reais";"horas_estimadas"
"Atividades avulsas ou extrajudiciais";"Consulta";"539,25";"0,62"
"Atividades avulsas ou extrajudiciais";"Consulta - a) Consulta em condições excepcionais (com exame de documentos)";"1155,52";"1,33"
"Atividades avulsas ou extrajudiciais";"Hora intelectual";"868,96";"1,00"
"Atividades avulsas ou extrajudiciais";"Acompanhamento ou exame de documentos em órgão público";"1216,54";"1,40"
"Atividades avulsas ou extrajudiciais";"Acompanhamento de citação, notificação, intimação, interpelação e exames periciais";"868,96";"1,00"
"Atividades avulsas ou extrajudiciais";"Acompanhamento de depoimento pessoal ou inquirição de testemunhas (por ato)";"2433,09";"2,80"
"Atividades avulsas ou extrajudiciais";"Cobrança amigável (art. 395 do CC/2002), independentemente dos honorários contratuais";"1216,54";"1,40"
"Atividades avulsas ou extrajudiciais";"Consignação em pagamento na via extrajudicial";"2085,52";"2,40"
"Atividades avulsas ou extrajudiciais";"Exame e visto em instrumento de constituição de pessoa jurídica";"2085,52";"2,40"
"Atividades avulsas ou extrajudiciais";"Elaboração de notificação extrajudicial";"868,96";"1,00"
"Atividades avulsas ou extrajudiciais";"Elaboração de minutas de contrato, distrato, alteração, estatuto, testamento, escritura ou documento";"4930,26";"5,67"
"Atividades avulsas ou extrajudiciais";"Parecer ou memorial";"3475,84";"4,00"
"Atividades avulsas ou extrajudiciais";"Requerimento ou petições";"1216,54";"1,40"
"Atividades avulsas ou extrajudiciais";"Exame de processo em geral";"770,35";"0,89"
"Atividades avulsas ou extrajudiciais";"Intervenção para solução de qualquer assunto no terreno amigável, mesmo quando for de valor inestimável";"3081,42";"3,55"
"Atividades avulsas ou extrajudiciais";"Intervenção para solução de qualquer assunto no terreno amigável, mesmo quando for de valor inestimável - a) Havendo interesse econômico, 10% desse valor";"";""
"Matéria administrativa";"Sindicância e processo administrativo – acompanhamento/defesa";"3128,26";"3,60"
"Matéria administrativa";"Processo administrativo – recurso";"6082,72";"7,00"
"Matéria administrativa";"Ação ou defesa – fase administrativa";"10427,52";"12,00"
"Matéria administrativa";"Recurso – fase administrativa";"5213,74";"6,00"
"Matéria administrativa";"Ação ou defesa – fase judicial";"17379,18";"20,00"
"Matéria administrativa";"Recurso – fase judicial";"8689,58";"10,00"
"Atividades em juizados especiais: estadual e federal";"Inicial ou contestação e audiência";"1390,33";"1,60"
"Atividades em juizados especiais: estadual e federal";"Atuação em segunda instância";"1042,75";"1,20"
"Atividades em juizados especiais: estadual e federal";"Sustentação oral perante turmas recursais";"1042,75";"1,20"
"Atividades em matéria cível";"Procedimento ordinário: proposição ou defesa";"6256,51";"7,20"
"Atividades em matéria cível";"Procedimento sumário: proposição ou defesa";"4344,80";"5,00"
"Atividades em matéria cível";"Cumprimento de sentença";"3475,84";"4,00"
"Atividades em matéria cível";"Impugnação ao cumprimento de sentença";"3475,84";"4,00"
"Atividades em matéria cível";"Execução de título extrajudicial";"3475,84";"4,00"
"Atividades em matéria cível";"Impugnação/embargos à execução de título extrajudicial";"3475,84";"4,00"
"Atividades em matéria cível";"Impugnação/embargos à penhora, à arrematação, à adjudicação, ao leilão, de títulos judiciais e extrajudiciais";"3475,84";"4,00"
"Atividades em matéria cível";"Processo cautelar específico: incidental ou preparatório";"3475,84";"4,00"
"Atividades em matéria cível";"Processo cautelar inominado: incidental ou preparatório";"4344,80";"5,00"
"Atividades em matéria cível";"Consignação em pagamento";"4344,80";"5,00"
"Atividades em matéria cível";"Depósito";"3475,84";"4,00"
"Atividades em matéria cível";"Anulação e substituição de título ao portador";"3475,84";"4,00"
"Atividades em matéria cível";"Prestação de contas";"10427,52";"12,00"
"Atividades em matéria cível";"Móvel";"3475,84";"4,00"
"Atividades em matéria cível";"Imóvel: interdito proibitório – manutenção – reintegração";"6082,72";"7,00"
"Atividades em matéria cível";"Nunciação de obra nova";"5392,48";"6,21"
"Atividades em matéria cível";"Usucapião";"6082,72";"7,00"
"Atividades em matéria cível";"Divisão e demarcação";"5392,48";"6,21"
"Atividades em matéria cível";"Embargos de terceiro";"6082,72";"7,00"
"Atividades em matéria cível";"Habilitação";"4344,80";"5,00"
"Atividades em matéria cível";"Restauração de autos";"4344,80";"5,00"
"Atividades em matéria cível";"Das vendas a crédito com reserva de domínio";"4344,80";"5,00"
"Atividades em matéria cível";"Do Juízo arbitral";"5392,48";"6,21"
"Atividades em matéria cível";"Da ação monitória";"3081,41";"3,55"
"Atividades em matéria cível";"Desapropriação direta";"6162,84";"7,09"
"Atividades em matéria cível";"Desapropriação indireta";"10427,52";"12,00"
"Atividades em matéria cível";"Inominada";"4344,80";"5,00"
"Atividades em matéria cível";"Ação de retificação de registro público";"4344,80";"5,00"
"Atividades em matéria cível";"Alvará judicial";"3081,41";"3,55"
"Atividades em matéria cível";"Ação de constituição, extinção de usufruto ou fideicomisso";"4622,13";"5,32"
